"","DF$name","Sieges","V1","Name1","Nat1","SiegeOb1","Perc1","V2","Name2","Nat2","SiegeOb2","Perc2","V3","Name3","Nat3","SiegeOb3","Perc3","V4","Name4","Nat4","SiegeOb4","Perc4","V5","Name5","Nat5","SiegeOb5","Perc5","V6","Name6","Nat6","SiegeOb6","Perc6","V7","Name7","Nat7","SiegeOb7","Perc7","V8","Name8","Nat8","SiegeOb8","Perc8","V9","Name9","Nat9","SiegeOb9","Perc9","V10","Name10","Nat10","SiegeOb10","Perc10","V11","Name11","Nat11","SiegeOb11","Perc11","V12","Name12","Nat12","SiegeOb12","Perc12","V13","Name13","Nat13","SiegeOb13","Perc13","V14","Name14","Nat14","SiegeOb14","Perc14","V15","Name15","Nat15","SiegeOb15","Perc15"
"1","‫جمنة‬",12,891,"Courant Démocrate","Liste partisane",6,"14.60%",543,"Ennahdha","Liste partisane",4,"49.83%",261,"Alaintilaq","Liste indépendante",2,"30.37%",93,"Nidaa Tounes","Liste partisane",0,"5.20%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","سوق الأحد",18,1627,"Mouvement Du Peuple","Liste partisane",8,"3.47%",1042,"Ennahdha","Liste partisane",5,"13.77%",484,"Souk Al'Ahad Tajamaeuna","Liste indépendante",3,"29.64%",240,"Nidaa Tounes","Liste partisane",1,"46.29%",122,"Al'Amal","Liste indépendante",1,"6.83%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","رجيم معتوق",12,514,"Nidaa Tounes","Liste partisane",5,"19.92%",356,"Ennahdha","Liste partisane",4,"29.92%",237,"Altumuh","Liste indépendante",2,"6.97%",83,"Mouvement Du Peuple","Liste partisane",1,"43.19%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","بشلي جرسن البليدات",18,1566,"Ennahdha","Liste partisane",9,"14.03%",693,"Al'Amal","Liste indépendante",4,"21.19%",459,"Union Civile","Liste de coalition",2,"12.08%",395,"Alayadi Albydaa","Liste indépendante",2,"47.88%",158,"Nidaa Tounes","Liste partisane",1,"4.83%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","بشري فطناسة",12,556,"Albina","Liste indépendante",3,"25.38%",506,"Mouvement Du Peuple","Liste partisane",3,"8.85%",471,"Nidaa Tounes","Liste partisane",3,"21.18%",464,"Ennahdha","Liste partisane",2,"23.09%",194,"Shabab Tawrgha","Liste indépendante",1,"21.50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","‫منوبة‬",24,1872,"Ennahdha","Liste partisane",6,"6.15%",1744,"Awlad Manouba","Liste indépendante",6,"24.50%",1043,"Nidaa Tounes","Liste partisane",4,"7.95%",723,"Courant Démocrate","Liste partisane",2,"6.58%",566,"Manouba Aljamyla","Liste indépendante",2,"10.16%",468,"Manouba Mashrouei","Liste indépendante",2,"26.30%",438,"Front Populaire","Liste de coalition",1,"3.70%",263,"Mouvement Du Peuple","Liste partisane",1,"14.66%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","دوار هيشر",30,2736,"Ennahdha","Liste partisane",12,"5.53%",1715,"Nidaa Tounes","Liste partisane",7,"4.00%",1105,"Afek Tounes","Liste partisane",5,"16.18%",624,"Courant Démocrate","Liste partisane",3,"9.13%",378,"Front Populaire","Liste de coalition",2,"40.05%",273,"Al'Amal","Liste indépendante",1,"25.11%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","وادي اللیل‬",30,3222,"Ennahdha","Liste partisane",12,"5.81%",2148,"Nidaa Tounes","Liste partisane",8,"6.14%",807,"Courant Démocrate","Liste partisane",3,"5.15%",578,"Mustaqbal Wadi Alil","Liste indépendante",2,"6.88%",516,"Altahadi","Liste indépendante",2,"9.60%",488,"Front Populaire","Liste de coalition",2,"38.34%",433,"Awlad Alhouma","Liste indépendante",1,"2.52%",212,"Mouvement Du Peuple","Liste partisane",0,"25.56%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","‫الفوار‬",18,1672,"Ennahdha","Liste partisane",6,"19.33%",999,"Linazrae Al'Amal","Liste indépendante",4,"16.00%",986,"Mouvement Du Peuple","Liste partisane",3,"10.29%",827,"Sawt Alfawar","Liste indépendante",3,"32.35%",532,"AL IRADA","Liste partisane",2,"19.08%",152,"Nidaa Tounes","Liste partisane",0,"2.94%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","‫الدندان‬",24,1769,"Ennahdha","Liste partisane",10,"23.34%",1025,"Aldandan Mtaeina","Liste indépendante",5,"40.28%",884,"Nidaa Tounes","Liste partisane",5,"16.26%",714,"Machrouu Tounes","Liste partisane",4,"20.13%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
